,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
10,03/31/2018,Air Force,@ Bellarmine,9-7,1,9,5,14,31,21,,,14,9,3,11,19,4,240,"3,600",7,6,,,,,,10,11,0.909,,1,7,5,12,23,13,1,,14,13,6,8,19,,,"3,600",9,12,,,,,,7,12,0.583,,2018
11,04/07/2018,Air Force,@ Jacksonville,12-13,1,12,6,18,28,20,1,,17,12,8,9,28,4,180,"3,600",13,8,,,,,,14,17,0.824,,1,13,6,19,34,21,1,,32,13,9,19,28,2,90,"3,600",12,8,,,,,,11,17,0.647,,2018
12,04/14/2018,Air Force,Furman,11-3,1,11,5,16,33,22,1,,23,11,5,15,17,1,30,"3,600",3,8,,,,,,10,13,0.769,,1,3,1,4,16,11,,,12,10,5,2,17,3,180,"3,600",11,11,,,,,,13,15,0.867,,2018
13,04/21/2018,Air Force,High Point,6-7,1,6,4,10,37,15,,,18,10,6,6,16,2,90,"3,580",7,9,,,,,,12,13,0.923,,1,7,3,10,27,16,2,,22,10,4,10,16,1,60,"3,580",6,9,,,,,,12,12,1.000/,,2018
14,04/28/2018,Air Force,@ Richmond,6-12,1,6,,6,26,12,1,1/,16,11,4,9,20,6,390,"3,600",12,10,,,,,,11,13,0.846,,1,12,8,20,32,22,3,,20,10,6,11,20,3,120,"3,600",6,6,,,,,,16,17,0.941,,2018
0,02/09/2019,Air Force,@ Denver,4-11,1,4,3,7,25,14,,,22,16,8,4,19,6,300,60:00,11,17,,,,,,19,24,0.792,,1,11,8,19,49,28,,,31,15,7,15,19,3,180,60:00,4,10,,,,,,17,23,0.739,,2019
1,02/16/2019,Air Force,Marist,12-6,1,12,7,19,43,21,,1/,25,19,6,11,22,6,330,60:00,6,6,,,,,,16,16,1.000/,,1,6,5,11,22,12,,,20,24,3,11,22,4,180,60:00,12,9,,,,,,11,17,0.647,,2019
2,02/23/2019,Air Force,"Cleveland St.
@ Denver, Colo.",11-8,1,11,7,18,37,22,,,33,20,8,16,22,6,300,60:00,8,6,,,,,,16,23,0.696,,1,8,4,12,25,14,1,,23,20,8,6,22,2,120,60:00,11,11,,,,,,18,24,0.750,,2019
3,02/24/2019,Air Force,Utah,5-6,1,5,4,9,41,19,1,,37,23,9,9,14,3,120,60:00,6,5,,,,,,12,15,0.800,,1,6,3,9,19,11,2,,23,28,7,5,14,3,150,60:00,5,14,,,,,,18,23,0.783,,2019
4,03/02/2019,Air Force,@ Canisius,13-7,1,13,5,18,40,22,1,,39,18,13,14,23,5,270,60:00,7,8,,,,,,15,17,0.882,,1,7,3,10,25,15,2,,24,22,6,9,23,3,120,60:00,13,9,,,,,,15,21,0.714,,2019
5,03/06/2019,Air Force,Detroit Mercy,19-9,1,19,13,32,49,29,2,,39,22,8,18,31,7,390,60:00,9,7,,,,,,16,19,0.842,,1,9,7,16,28,16,3,,24,21,7,13,31,2,120,60:00,19,10,,,,,,11,16,0.688,,2019
6,03/16/2019,Air Force,@ Mercer,20-8,1,20,14,34,40,29,2,,39,14,10,19,32,2,120,60:00,8,9,,,,,,21,23,0.913,,1,8,5,13,41,17,1,,35,21,4,13,32,5,270,60:00,20,9,,,,,,12,15,0.800,,2019
7,03/23/2019,Air Force,@ Furman,11-7,1,11,6,17,37,22,,,36,21,10,16,21,2,60,60:00,7,9,,,,,,21,25,0.840,,1,7,4,11,31,16,,,24,20,9,5,21,,,60:00,11,11,,,,,,20,26,0.769,,2019
8,03/26/2019,Air Force,@ Yale,6-13,1,6,5,11,25,17,2,,19,15,8,3,23,10/,480,60:00,13,19,,,,,,15,24,0.625,,1,13,7,20,52,32,4,,36,18,7,20,23,2,90,60:00,6,11,,,,,,19,20,0.950,,2019
9,03/30/2019,Air Force,Jacksonville,14-7,1,14,5,19,45,28,2,,43,15,10,21,24,3,150,60:00,7,8,,,,,,8,11,0.727,,1,7,4,11,31,15,1,,23,21,8,3,24,4,210,60:00,14,14,,,,,,15,19,0.789,,2019
10,04/06/2019,Air Force,@ High Point,9-13,1,9,5,14,45,21,2,,28,16,14,14,25,4,180,60:00,13,5,,,,,,16,18,0.889,,1,13,11,24,24,18,1,,29,19,10,11,25,7,360,60:00,9,12,,,,,,18,20,0.900,,2019
11,04/13/2019,Air Force,Richmond,14-7,1,14,8,22,45,31,1,1/,43,15,12,18,23,7,480,60:00,7,6,,,,,,8,10,0.800,,1,7,4,11,26,13,2,,16,14,6,5,23,5,210,60:00,14,17,,,,,,12,14,0.857,,2019
12,04/20/2019,Air Force,@ VMI,12-5,1,12,9,21,39,22,5/,,37,21,10,16,20,9,450,60:00,5,11,,,,,,22,25,0.880,,1,5,1,6,37,16,1,,28,21,6,4,20,7,360,60:00,12,10,,,,,,19,23,0.826,,2019
13,04/27/2019,Air Force,Bellarmine,13-6,1,13,6,19,58,25,1,,36,17,7,18,23,,,60:00,6,6,,,,,,11,12,0.917,,1,6,6,12,21,12,,,20,18,5,5,23,1,60,60:00,13,12,,,,,,13,17,0.765,,2019
14,05/02/2019,Air Force,"Richmond
@ High Point, N.C.",6-7,1,6,3,9,35,18,,,33,18,6,14,17,,,60:00,7,6,,,,,,14,18,0.778,,1,7,6,13,22,13,,,19,13,8,3,17,2,120,60:00,6,12,,,,,,21,23,0.913,,2019
0,02/01/2020,Air Force,@ Duke,14-13,1,14,8,22,26,22,,,17,17,4,9,30,3,150,60:00,13,17,,,,,,21,26,0.808,,1,13,8,21,47,30,,,36,17,6,21,30,2,90,60:00,14,8,,,,,,17,17,1.000/,,2020
1,02/08/2020,Air Force,Denver,7-13,1,7,5,12,31,16,1,,21,14,8,6,23,7/,300,60:00,13,20,,,,,,17,21,0.810,,1,13,7,20,46,33,3,,35,13,9,17,23,1,30,60:00,7,9,,,,,,14,16,0.875,,2020
2,02/15/2020,Air Force,@ Utah,9-8,1,9,6,15,40,21,,,22,11,3,9,20,5,180,60:00,8,15,,,,,,13,14,0.929,,1,8,3,11,38,23,,,29,17,3,11,20,1,30,60:00,9,12,,,,,,9,12,0.750,,2020
3,02/22/2020,Air Force,"Cleveland St.
@ Denver, Colo.",11-12 (1),1,11,8,19,33,19,1,,27,17,5,12,25,6,270,60:21,12,9,,,,,,19,22,0.864,,1,12,8,20,37,21,2,,33,20,8,13,25,5,270,60:21,11,8,,,,,,18,19,0.947/,1/,2020
4,02/23/2020,Air Force,"St. Bonaventure
@ Denver, Colo.",11-5,1,11,7,18,35,20,2,,41,18,4,11,19,3,120,60:00,5,8,,,,,,18,22,0.818,,1,5,3,8,25,13,,,20,15,7,8,19,3,90,60:00/,11,9,,,,,,16,21,0.762,,2020
5,03/01/2020,Air Force,@ Virginia,5-15,1,5,3,8,28,13,1,,27,19,7,9,23,4,210,60:00,15,12,,,,,,15,23,0.652,,1,15,10,25,40,27,2,,37,16,14,14,23,4,240,60:00,5,8,,,,,,23,25,0.920,,2020
6,03/08/2020,Air Force,Canisius,15-11,1,15,10,25,38,26,,,39,17,11,21,30,2,150,59:53,11,5,,,,,,12,14,0.857,,1,11,6,17,27,16,,,27,16,7,9,30,1,60,59:53,15,11,,,,,,12,14,0.857,,2020
7,03/14/2020,Air Force,@ Furman,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,02/13/2021,Air Force,Denver,6-15,1,6,4,10,35,17,,,20,17,7,6,24,2,90,60:00,15,17,,,,,,12,21,0.571,,1,15,12,27,58,32,1,,37,18,10,18,24,1,30,60:00,6,11,,,,,,17,20,0.850,,2021
1,02/20/2021,Air Force,Utah,10-9 (1),1,10,7,17,43,24,,,28,14,8,13,22,3,120,62:25,9,11,,,,,,19,22,0.864,1/,1,9,7,16,37,20,3,,28,15,5,9,22,1,60,62:25,10,14,,,,,,16,17,0.941,,2021
2,02/27/2021,Air Force,@ Duke,7-17,1,7,5,12,24,16,1,,19,22,7,10,27,4,330,60:00,17,12,,,,,,15,21,0.714,,1,17,13,30,42,29,5/,,32,15,8,17,27,5,240,60:00,7,9,,,,,,15,16,0.938,,2021
3,03/06/2021,Air Force,@ Virginia,4-20,1,4,3,7,28,15,1,,31,26,7,7,28,3,150,60:00,20,7,,,,,,12,23,0.522,,1,20,17/,37,43,27,2,,56,29/,17/,21,28,3,180,60:00,4,11,,,,,,22,29,0.759,,2021
4,03/13/2021,Air Force,Robert Morris,13-14,1,13,9,22,50,30,1,,49,24,10,17,30,1,60,60:00,14,9,,,,,,15,20,0.750,,1,14,11,25,35,23,1,,41,25,12,13,30,4,180,60:00,13,17,,,,,,17,19,0.895,,2021
5,03/20/2021,Air Force,@ North Carolina,5-15,1,5,2,7,34,15,1,,25,15,6,11,24,4,180,60:00,15,13,,,,,,11,15,0.733,,1,15,10,25,51,28,3,,35,11,5,13,24,4,210,60:00,5,10,,,,,,19,22,0.864,,2021
6,03/27/2021,Air Force,@ Bellarmine,8-6,1,8,7,15,34,17,,,22,18,7,12,18,2,120,60:00,6,16,,,,,,17,20,0.850,,1,6,4,10,30,22,1,,17,11,9,6,18,1,60,60:00,8,9,,,,,,19,25,0.760,,2021
7,04/03/2021,Air Force,Mercer,13-15,1,13,6,19,51,27,1,,24,8,7,15,31,3,90,60:00,15,9,,,,,,9,9,1.000/,,1,15,10,25,34,24,2,,23,12,3,16,31,4,150,60:00,13,14,,,,,,11,16,0.688,,2021
8,04/10/2021,Air Force,@ Jacksonville,5-11,1,5,1,6,44,21,,1,28,13,8,10,20,6,360,60:00,11,11,,,,,,24,26,0.923,,1,11,4,15,41,22,1,,34,22,8,10,20,4,150,60:00,5,16,,,,,,24,27,0.889,,2021
9,04/17/2021,Air Force,VMI,18-4,1,18,10,28,52,31,,,39,13,13,16,26,6,360,60:00,4,7,,,,,,13,15,0.867,,1,4,3,7,22,11,2,,19,24,5,10,26,2,120,60:00,18,13,,,,,,11,19,0.579,,2021
10,04/24/2021,Air Force,High Point,8-13,1,8,5,13,45,20,3,,27,11,11,12,22,5,330,60:00,13,12,,,,,,13,15,0.867,,1,13,8,21,45,25,1,,31,16,6,10,22,5,210,60:00,8,12,,,,,,15,19,0.789,,2021
11,05/01/2021,Air Force,@ Richmond,9-8,1,9,6,15,31,20,1,,25,24,14,12,21,5,180,60:00,8,16,,,,,,24,29,0.828,,1,8,6,14,43,24,4,,30,19,14,9,21,2,60,60:00,9,11,,,,,,22,23,0.957,,2021
12,05/05/2021,Air Force,@ Richmond,6-11,1,6,4,10,40,18,,,26,18,6,9,20,3,120,60:00,11,13,,,,,,23,25,0.920,,1,11,6,17,38,24,,,31,13,13,11,20,5,270,60:00,6,12,,,,,,26/,27,0.963,,2021
0,02/04/2023,Air Force,@ Ohio St.,7-15,1,7,3,10,26,15,1,,23,10,9,4,26,3,120,60:00,15,7,,,,,,16,19,0.842,,1,15,8,23,36,22,1,,35,17,6,22,26,3,180,60:00,7,8,,,,,,15,15,1.000/,,2023
1,02/11/2023,Air Force,Denver,12-10,1,12,5,17,36,18,,,24,13,6,6,23,3,90,60:00,10,17,,,,,,19,21,0.905,,1,10,8,18,35,27,,,24,14,4,17,23,1,30,60:00,12,6,,,,,,18,20,0.900,,2023
2,02/18/2023,Air Force,Colgate,11-10,1,11,5,16,40,23,1,,24,18,10,9,24,1,60,60:00,10,17,,,,,,22,26,0.846,,1,10,4,14,38,27,,,34,18,9,15,24,3,120,60:00,11,12,,,,,,18,23,0.783,,2023
3,02/24/2023,Air Force,@ Stony Brook,8-15,1,8,4,12,28,17,1,,30,20,5,11,26,6,330,60:00,15,9,,,,,,24,27,0.889,,1,15,10,25,42,24,3,,35,12,6,15,26,5,270,60:00,8,9,,,,,,21,22,0.955,,2023
4,03/04/2023,Air Force,@ Mercer,14-8,1,14,7,21,44,23,2,,25,14,7,9,25,3,150,59:53,8,10,,,,,,23,23,1.000/,,1,8,4,12,50,18,,,27,13,6,16,25,3,120,59:53,14,9,,,,,,11,12,0.917,,2023
5,03/11/2023,Air Force,Bryant,11-6,1,11,8,19,37,24,2,,29,21,10,8,21,2,60,60:00,6,12,,,,,,24,28,0.857,,1,6,3,9,31,18,1,,29,20,10,13,21,2,60,60:00,11,13,,,,,,18,22,0.818,,2023
6,03/18/2023,Air Force,@ Queens (NC),18-6,1,18,7,25,39,25,2,,38,20,10,14,26,2,90,60:00,6,5,,,,,,22,24,0.917,,1,6,3,9,21,11,,,34,28,11,12,26,2,150,60:00,18,7,,,,,,14,22,0.636,,2023
7,03/20/2023,Air Force,@ Duke,6-18,1,6,3,9,35,12,1,,21,22,4,7,27,2,60,60:00,18,13,,,,,,19,22,0.864,,1,18,10,28,52,31,1,,43,16,8,20,27,4,210,60:00,6,6,,,,,,21,25,0.840,,2023
8,03/25/2023,Air Force,Lindenwood,15-6,1,15,10,25,41,29,1,,22,22,10,13,25,4,120,60:00,6,12,,,,,,22,23,0.957,,1,6,2,8,33,18,,,28,22,11,12,25,2,60,60:00,15,14,,,,,,17,26,0.654,,2023
9,03/29/2023,Air Force,Utah,11-18,1,11,6,17,49,18,1,,28,13,9,15,33,6,300,60:00,18,15,,,,,,17,18,0.944,,1,18,7,25,54,33,1,,39,17,8,18,33,2,90,60:00,11,7,,,,,,16,20,0.800,,2023
10,04/01/2023,Air Force,@ Cleveland St.,12-9,1,12,6,18,31,20,,,37,19,6,15,24,3,150,60:00,9,8,,,,,,20,23,0.870,,1,9,6,15,34,17,1,,27,12,5,9,24,2,120,60:00,12,8,,,,,,20,21,0.952,,2023
11,04/08/2023,Air Force,@ Bellarmine,10-11,1,10,6,16,44,24,,,24,10,4,11,22,1,30,60:00,11,14,,,,,,21,21,1.000/,,1,11,7,18,38,25,1,,19,13,6,11,22,1,60,60:00,10,14,,,,,,18,19,0.947,,2023
12,04/15/2023,Air Force,Detroit Mercy,22-7,1,22,10,32,58,38,2,,37,12,10,16,33,4,180,60:00,7,11,,,,,,20,21,0.952,,1,7,4,11,30,18,1,,22,17,4,17,33,3,150,60:00,22,16,,,,,,14,19,0.737,,2023
13,04/22/2023,Air Force,@ Jacksonville,15-11,1,15,7,22,32,27,,,26,20,10,8,28,5,270,60:00,11,11,,,,,,20,27,0.741,,1,11,5,16,29,22,,,36,23,13,20,28,2,60,60:00,15,12,,,,,,16,18,0.889,,2023
14,04/29/2023,Air Force,Robert Morris,13-5,1,13,7,20,53,28,2,,31,12,15,10,22,5,240,60:00,5,8,,,,,,22,24,0.917,,1,5,2,7,23,13,2,,25,21,9,12,22,2,60,60:00,13,15,,,,,,16,18,0.889,,2023
15,05/05/2023,Air Force,"Robert Morris
@ Moon Township, Pa.",12-4,1,12,6,18,46,27,,,19,14,3,8,20,,,60:00,4,19,,,,,,19,19,1.000/,,1,4,1,5,34,23,,,25,13,6,12,20,2,60,60:00,12,15,,,,,,16,20,0.800,,2023
16,05/07/2023,Air Force,"Utah
@ Moon Township, Pa.",9-11,1,9,4,13,44,18,1,,23,19,9,2,23,2,120,60:00,11,11,,,,,,20,22,0.909,,1,11,3,14,42,22,1,,33,20,10,21,23,3,120,60:00,9,9,,,,,,19,20,0.950,,2023
0,02/05/2022,Air Force,@ Virginia,11-21,1,11,5,16,31,19,,,30,17,6,14,35,1,30,60:00,21,14,,,,,,14,27,0.519,,1,21,13,34,51,35,,,45,13,9,21,35,1,30,60:00,11,8,,,,,,12,15,0.800,,2022
1,02/12/2022,Air Force,@ Denver,9-13,1,9,6,15,33,16,,,27,18,7,9,26,3,150,60:00,13,18,,,,,,22,27,0.815,,1,13,9,22,45,31,1,,37,15,10,17,26,,,60:00,9,7,,,,,,24,24,1.000/,,2022
2,02/19/2022,Air Force,@ Colgate,8-11,1,8,5,13,46,27,,,22,10,9,5,23,2,120,60:00,11,16,,,,,,20,26,0.769,,1,11,7,18,39,27,1,,32,17,6,18,23,,,60:00,8,19,,,,,,16,22,0.727,,2022
3,02/27/2022,Air Force,Jacksonville,9-15,1,9,3,12,41,23,2,,34,17,11,13,26,2,60,60:00,15,10,,,,,,11,15,0.733,,1,15,10,25,34,25,,,21,18,7,13,26,3,240,60:00,9,14,,,,,,17,21,0.810,,2022
4,02/28/2022,Air Force,Canisius,9-8 (1),1,9,4,13,50,23,2,,28,15,9,12,18,2,60,61:05,8,9,,,,,,16,19,0.842,1/,1,8,4,12,36,17,1,,19,12,5,6,18,2,120,61:05,9,14,,,,,,17,21,0.810,,2022
5,03/05/2022,Air Force,Marist,17-8,1,17,10,27,47,25,,,34,15,12,15,28,3,150,60:00,8,8,,,,,,16,17,0.941,,1,8,5,13,38,16,,,33,19,8,13,28,4,240,60:00,17,8,,,,,,12,16,0.750,,2022
6,03/12/2022,Air Force,@ Bryant,16-10,1,16,6,22,42,27,3,,30,15,8,11,29,2,60,60:00,10,21,,,,,,29,32,0.906,,1,10,5,15,50,31,,,36,17,9,18,29,6,240,60:00,16,11,,,,,,20,21,0.952,,2022
7,03/19/2022,Air Force,@ Mercer,13-10,1,13,7,20,50,26,,,26,17,10,14,25,2,60,60:00,10,11,,,,,,19,23,0.826,,1,10,2,12,43,21,,1/,18,13,9,11,25,,,60:00,13,13,,,,,,17,17,1.000/,,2022
8,03/26/2022,Air Force,@ Marquette,16-9,1,16,10,26,39,26,2,,24,18,4,14,29,3,150,60:00,9,15,,,,,,18,24,0.750,,1,9,6,15,40,24,2,,26,15,9,15,29,3,120,60:00,16,10,,,,,,17,18,0.944,,2022
9,04/02/2022,Air Force,Utah,8-10,1,8,5,13,46,22,1,,22,18,11,13,20,3,120,60:00,10,11,,,,,,15,16,0.938,,1,10,7,17,35,21,1,,22,15,8,7,20,4,210,60:00,8,14,,,,,,19,21,0.905,,2022
10,04/09/2022,Air Force,@ Detroit Mercy,13-4,1,13,6,19,54,30,2,,41,19,11,13,21,3,150,60:00,4,11,,,,,,25,28,0.893,,1,4,2,6,26,15,1,,34,23,6,8,21,4,150,60:00,13,17,,,,,,18,19,0.947,,2022
11,04/16/2022,Air Force,Cleveland St.,12-8,1,12,5,17,45,30,1,,31,19,11,15,23,4,210,60:00,8,13,,,,,,18,22,0.818,,1,8,6,14,34,21,1,,27,19,7,8,23,3,150,60:00,12,18,,,,,,19,23,0.826,,2022
12,04/23/2022,Air Force,@ Robert Morris,10-11,1,10,5,15,49,26,,,19,11,15,7,24,2,60,60:00,11,7,,,,,,21,21,1.000/,,1,11,7,18,37,18,2,,21,25,8,17,24,2,60,60:00,10,16,,,,,,22,25,0.880,,2022
13,04/30/2022,Air Force,Bellarmine,9-7,1,9,4,13,38,18,,,41,14,15,13,20,3,180,60:00,7,9,,,,,,24,24,1.000/,,1,7,4,11,25,16,2,,22,18,9,7,20,,,60:00,9,9,,,,,,20,21,0.952,,2022
14,05/05/2022,Air Force,"Robert Morris
@ Huntsville, Ala.",7-9,1,7,5,12,51,21,,,24,22,12,12,20,,,60:00,9,11,,,,,,24,27,0.889,,1,9,5,14,23,20,,,14,19,9,8,20,5,210,60:00,7,14,,,,,,20,23,0.870,,2022
