,Id,Team Name,Conference,Games,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Pct,Pen,Goals Allowed,Saves,Clear Pct,Year
188,439,rutgers,Big Ten,13,186,103,289,576,329,15,383,163,102,40.0,53,145,182,0.89,2021
189,605,sacred heart,NEC,12,117,62,179,499,289,13,318,174,65,39.0,60,169,176,0.901,2021
190,982,saint josephs,NEC,13,161,103,264,601,367,12,474,220,119,66.0,45,135,126,0.826,2021
191,107,siena,MAAC,8,66,39,105,310,173,5,226,145,72,36.0,25,81,119,0.805,2021
192,335,st bonaventure,MAAC,10,93,57,150,318,199,12,244,167,76,37.0,44,91,136,0.833,2021
193,637,st johns ,Big East,11,99,60,159,374,222,12,281,188,77,30.0,39,198,166,0.762,2021
194,85,stony brook,America East,14,201,129,330,665,399,23,481,180,98,51.0,47,149,166,0.864,2021
195,30,syracuse,ACC,13,177,99,276,579,361,14,423,179,99,52.0,61,183,163,0.837,2021
196,142,towson,CAA,14,133,76,209,497,274,12,379,237,108,37.0,41,154,159,0.848,2021
197,253,ualbany,America East,13,180,133,313,500,332,21,464,218,95,48.0,40,143,145,0.894,2021
198,912,umass lowell,America East,9,73,42,115,305,163,8,274,162,64,39.0,38,133,124,0.799,2021
199,399,umbc,America East,11,119,67,186,434,250,12,308,184,73,47.0,25,105,118,0.88,2021
200,574,utah,DI Independent,11,113,60,173,400,226,18,310,191,61,50.0,38,127,128,0.839,2021
201,313,vermont,America East,14,188,108,296,645,391,20,495,239,91,68.0,59,148,162,0.869,2021
202,432,villanova,Big East,12,158,86,244,523,305,22,298,163,102,50.0,53,126,124,0.86,2021
203,978,virginia,ACC,18,263,151,414,778,464,13,755,302,157,61.0,69,210,243,0.852,2021
204,875,army west point,Patriot,8,110,75,185,327,207,8,287,135,85,46.0,27,58,93,0.847,2020
205,885,bellarmine,SoCon,8,90,49,139,316,189,7,229,144,71,37.0,21,96,94,0.838,2020
206,94,binghamton,America East,6,42,25,67,179,102,4,174,127,45,35.0,20,86,89,0.795,2020
207,169,boston u,Patriot,6,62,38,100,224,132,8,211,129,75,61.0,20,66,74,0.87,2020
208,756,brown,Ivy League,5,67,37,104,264,153,8,186,72,45,61.0,21,51,65,0.848,2020
209,639,bryant,NEC,7,88,44,132,301,186,9,196,104,49,49.0,21,82,78,0.853,2020
210,37,bucknell,Patriot,6,88,52,140,300,186,10,239,93,73,57.0,20,59,65,0.847,2020
211,675,canisius,MAAC,5,41,21,62,146,92,3,142,84,21,35.0,17,85,86,0.794,2020
212,115,cleveland st,DI Independent,7,66,39,105,269,139,7,214,135,41,57.0,19,89,64,0.804,2020
213,620,colgate,Patriot,6,70,44,114,258,149,14,209,118,39,51.0,27,110,82,0.766,2020
214,443,cornell,Ivy League,5,92,52,144,228,154,8,201,70,40,53.0,29,64,43,0.882,2020
215,114,dartmouth,Ivy League,4,46,26,72,132,78,4,121,61,34,53.0,16,33,54,0.852,2020
216,825,delaware,CAA,6,71,43,114,268,160,9,177,82,58,41.0,26,55,71,0.898,2020
217,578,denver,Big East,6,79,39,118,251,157,9,188,85,47,63.0,16,57,46,0.877,2020
218,137,detroit mercy,MAAC,5,63,30,93,184,109,6,174,91,24,60.0,20,84,51,0.747,2020
219,561,drexel,CAA,6,89,51,140,279,167,12,223,105,46,46.0,29,75,70,0.842,2020
220,850,duke,ACC,8,122,71,193,325,205,4,279,135,62,58.0,25,88,78,0.898,2020
221,88,fairfield,CAA,7,115,72,187,325,218,15,251,115,51,49.0,28,109,97,0.787,2020
222,884,furman,SoCon,7,64,40,104,229,121,10,183,148,55,31.0,23,115,102,0.78,2020
223,224,georgetown,Big East,6,99,59,158,301,179,9,247,99,50,68.0,15,38,65,0.934,2020
224,462,hampton,DI Independent,6,34,21,55,150,83,1,166,160,42,52.0,16,125,78,0.597,2020
225,355,hartford,America East,6,67,40,107,262,152,6,178,94,56,57.0,28,62,71,0.851,2020
226,531,harvard,Ivy League,4,47,24,71,132,86,3,106,66,29,44.0,15,45,59,0.761,2020
227,190,high point,SoCon,8,99,61,160,308,194,15,242,143,60,47.0,37,136,107,0.856,2020
228,571,hobart,NEC,5,98,48,146,267,167,13,185,82,38,56.0,22,60,76,0.838,2020
229,678,hofstra,CAA,7,95,55,150,315,187,9,229,100,41,62.0,26,71,67,0.922,2020
230,14,holy cross,Patriot,7,64,33,97,266,142,4,219,130,73,64.0,19,74,68,0.83,2020
231,849,jacksonville,SoCon,6,77,45,122,253,149,2,192,97,60,44.0,25,66,58,0.935,2020
232,785,johns hopkins,Big Ten,6,65,36,101,255,150,8,175,92,26,59.0,29,79,70,0.789,2020
233,649,lafayette,Patriot,6,42,18,60,164,90,3,161,133,34,41.0,27,98,72,0.792,2020
234,943,lehigh,Patriot,6,84,53,137,241,160,11,254,113,55,64.0,16,58,61,0.805,2020
235,899,liu,NEC,7,79,53,132,235,150,10,163,122,37,35.0,31,96,107,0.83,2020
236,527,loyola maryland,Patriot,6,69,41,110,290,157,14,200,87,56,69.0,11,52,66,0.903,2020
237,551,manhattan,MAAC,6,51,32,83,165,104,2,143,100,34,36.0,16,56,83,0.863,2020
238,720,marist,MAAC,6,79,49,128,244,158,16,197,96,57,63.0,26,67,67,0.81,2020
239,686,marquette,Big East,7,82,38,120,255,139,6,223,114,62,45.0,27,74,66,0.816,2020
240,98,maryland,Big Ten,6,94,60,154,302,178,7,201,105,40,58.0,22,75,77,0.887,2020
241,782,massachusetts,CAA,7,77,51,128,271,172,7,207,114,68,58.0,33,75,82,0.833,2020
242,71,mercer,SoCon,7,115,70,185,312,182,9,224,100,47,69.0,25,62,60,0.883,2020
243,128,merrimack,NEC,6,62,38,100,224,135,9,159,104,44,51.0,25,69,64,0.813,2020
244,77,michigan,Big Ten,7,93,47,140,305,169,15,230,96,56,51.0,25,83,82,0.848,2020
245,53,monmouth,MAAC,6,41,24,65,203,106,4,177,108,51,45.0,22,64,64,0.844,2020
246,291,mount st marys,NEC,8,70,37,107,311,172,12,243,133,64,52.0,28,93,87,0.863,2020
247,257,navy,Patriot,5,59,41,100,182,115,10,186,85,45,51.0,16,47,51,0.796,2020
248,55,njit,NEC,7,54,32,86,213,134,6,188,145,56,44.0,17,87,85,0.858,2020
249,591,north carolina,ACC,7,125,86,211,320,212,17,268,101,51,57.0,29,70,63,0.859,2020
250,555,notre dame,ACC,5,61,34,95,209,128,5,150,69,37,43.0,13,53,55,0.843,2020
251,889,ohio st,Big Ten,7,97,63,160,272,166,10,225,124,44,55.0,22,71,97,0.889,2020
252,176,penn,Ivy League,5,69,43,112,247,152,5,188,85,38,66.0,15,70,57,0.864,2020
253,285,penn st,Big Ten,7,121,68,189,302,195,11,262,122,47,56.0,17,77,85,0.831,2020
254,502,princeton,Ivy League,5,90,49,139,228,152,7,192,78,50,50.0,19,54,60,0.824,2020
255,358,providence,Big East,6,69,39,108,246,141,11,195,94,49,39.0,16,48,81,0.856,2020
256,477,quinnipiac,MAAC,6,56,24,80,242,134,8,189,117,35,61.0,29,89,80,0.804,2020
257,583,richmond,SoCon,7,89,52,141,266,158,10,212,123,65,44.0,17,74,93,0.917,2020
258,45,robert morris,NEC,6,84,43,127,279,173,8,225,105,57,49.0,24,83,62,0.867,2020
259,439,rutgers,Big Ten,6,75,41,116,242,143,7,156,83,49,34.0,19,75,73,0.858,2020
260,605,sacred heart,NEC,6,58,29,87,238,142,7,171,123,47,41.0,25,85,91,0.8,2020
261,982,saint josephs,NEC,7,72,46,118,257,153,5,230,131,52,65.0,25,68,95,0.866,2020
262,107,siena,MAAC,6,71,39,110,260,151,8,196,111,62,43.0,27,96,89,0.779,2020
263,335,st bonaventure,MAAC,6,37,22,59,166,83,5,103,96,39,22.0,15,85,77,0.843,2020
264,637,st johns ,Big East,7,88,47,135,305,175,16,230,119,52,55.0,21,100,73,0.894,2020
265,85,stony brook,America East,7,92,40,132,323,195,12,259,115,48,53.0,28,91,96,0.847,2020
266,30,syracuse,ACC,5,83,43,126,257,162,5,206,68,49,68.0,19,47,64,0.91,2020
267,142,towson,CAA,6,42,24,66,188,100,3,140,95,35,34.0,20,84,75,0.843,2020
268,253,ualbany,America East,5,64,50,114,188,118,3,158,77,36,35.0,15,77,59,0.847,2020
269,912,umass lowell,America East,7,65,43,108,279,151,6,207,120,55,44.0,42,81,80,0.814,2020
270,399,umbc,America East,5,59,25,84,205,119,8,149,71,43,56.0,10,42,62,0.9,2020
271,574,utah,DI Independent,6,77,46,123,249,167,7,197,92,43,51.0,18,66,78,0.868,2020
272,313,vermont,America East,4,43,21,64,140,94,5,101,59,33,44.0,14,33,52,0.882,2020
273,432,villanova,Big East,7,88,51,139,297,161,11,206,90,50,42.0,30,92,86,0.851,2020
274,978,virginia,ACC,6,82,56,138,291,170,6,260,99,61,56.0,27,67,80,0.876,2020
